DS,Year,Project #,Client,Project Name,Amount,Status (%),Remaining Amount,Total Running Weeks,PO Date,PO No.,Date Completed,PIC,Address
DS,2024,CMRP24060224,URC,URC Cavite Dynamite SCADA PLC Upgrade,1197956,,1197956,,8/5/2024,,,RPP,
DS,2024,CMRP24040158,ATTSC,ATTSC RCBC Plaza Chiller-BMS Integration,1196629.55,,1196629.55,,,,,EMP,
DS,2024,CMRP24060234,ATTSC,Brent School Chiller-BMS Integration,945187.05,,945187.05,,11/12/2024,24-146,,RAS,
DS,2024,CMRP24040149,URC,URC Cavite Enrober Electrical control upgrade,778174.11,,778174.11,,8/5/2024,400110436,,RAS,
DS,2024,CMRP24080301,ST Microelectronics Inc.,Power Meter Installation & FMCS Integration,775600,,775600,,9/2/2024,,2/26/2025,RAS,
DS,2023,CMRP23070202,Netpacific,NPI Cavite BMS Programming,760850.4,,760850.4,,,,,JNL,
DS,2024,CMRP23090319B,STMicro,STMicro Warehouse Freezer FMCS Integration,714564.3,,714564.3,,,,,RAS,
DS,2024,CMRP24040130,Megaworld,Megaworld Pasudeco Tower BMS Variation,669643,,669643,,11/18/2024,,3/24/2025,RAV,
DS,2025,CMRP24100453,NPI,NPI Globe STT Davao BMS,629245.62,,629245.62,,2/18/2025,,,RPP,
DS,2023,CMRP23070204,URC,URC Cavite Steam Metering,625352.7,,625352.7,,,,,RPV,
DS,2023,CMRP21070245,Magnolia,Magnolia Data Logger Additionals,613504.92,,613504.92,,2/19/2023,,,JBN,
DS,2023,CMRP23070203,URC,URC Cavite Power Metering,569653.63,,569653.63,,,,,RPV,
DS,2023,CMRP23090292,URC,URC CAL2 Piattos Fryer PLC Upgrade,568947.14,,568947.14,,9/26/2023,,4/10/2025,DOTX,
DS,2024,CMRP24060240,URC,URC Cavite Pretzel Oven Electrical Panel Upgrade,493886.61,,493886.61,,8/5/2024,400110434,,RAS,
DS,2024,CMRP24120539,Unilab,Amherst Delta Additional AP Coverage,455365.23,,455365.23,,11/19/2024,,,EMP,
DS,2024,CMRP23060160C,URC,URC SP1 Green Bean Silo Automation Automation,445980.08,,445980.08,,,,,RPP,
DS,2025,CMRP25020047,URC,URC Pamp2 Boiler PLC Upgrade,434910.71,,434910.71,,4/10/2025,400159505,,JNL,
DS,2024,CMRP24030088,NPI,Netpacific MSU Marawi BMS,432000,,432000,,,,,Others,
DS,2024,CMRP24080303,NPI,Netpac Gentry BMS Installation - RESI,423600,,423600,,8/29/2024,HG24-0884,,JNL,
DS,2023,CMRP23070230,URC,URC Canlubang Pretzel Line 3 Additional Interlocking and Alarms,407325.49,,407325.49,,,,,Others,
DS,2024,CMRP24100455,URC,PRL Extruder System Rehabilitation,397321.43,,397321.43,,10/23/2024,400126886,,DOTX,
DS,2024,CMRP24070247,Megaworld,Megaworld VGC Terminal Canopy EE & AUX Works,357686.61,,357686.61,,7/23/2024,,,DIFSYS,
DS,2025,CMRP24120518,JX Metals,JX Metals Slitting Machine Panel Rehab,340000,,340000,,1/8/2025,,3/18/2025,JNL,
DS,2024,CMRP24060209,ADI,ADI Power Meter BMS Integration,267161.5,,267161.5,,,,,RPP,
DS,2023,CMRP22030138,Mechsys,Mechsys Boiler Integration to BMS,237861.09,,237861.09,,2/7/2023,,,JNL,
DS,2025,CMRP25010032,ST Microelectronics Inc.,STMicro Copper and Ammonia FMCS Integration,82624.94,,82624.94,,2/7/2025,,2/26/2025,RAS,
DS,2023,CMRP23080276,Mega Sardines,Mega Sardines Zamboanga HMI Reprogramming,40178.57,,40178.57,,,,,Others,
DS,2024,CMRP24040114,BBP,BBP Uptown Mall Valve Switch Works,27877.9,,27877.9,,,,,Others,
DS,2024,CMRP24040128,LBI,LBI RCS Cabuyao Onsite Troubleshooting,25429.92,,25429.92,,,,,JNL,
DS,2024,CMRP24070272,Unilab,ADI C1 Air Dryer 1,18000,,18000,,,,,RPP,
