DS,Year,Project #,Client,Project Name,Amount,Status,Remaining Amount,Total Running Weeks,PO Date,PO No.,Date Completed,PIC,Updates,Address
DS,2023,CMRP21010032,URC,URC Cavite Jaguar Chiller and Metering System,2677663.18,100.0%,0,76,11/15/2022,,4/28/2024,RPP,,
DS,2023,CMRP23040093,Tann Philippines,Tann Philippines BMS to PLC Upgrade,5254780.08,100.0%,0,90,7/19/2023,25-010-23,4/8/2025,JBN,,
DS,2023,CMRP23070202,Netpacific,NPI Cavite BMS Programming,760850.4,100.0%,0,1,,,,JNL,,
DS,2024,CMRP23110399,Megaworld,Megaworld GLOBAL ONE BUILDING BMS Rehab,3035714.29,100.0%,0,34,3/7/2024,,10/30/2024,GMA,,
DS,2024,CMRP24040130,Megaworld,Megaworld Pasudeco Tower BMS Variation,669643,100.0%,0,19,11/18/2024,,3/24/2025,RAV,,
DS,2023,CMRP22050220,URC,URC-Canlubang Hot Water and Choco Fat Dosing Automation,1920398.21,100.0%,0,27,8/23/2023,,2/24/2024,RAS,,
DS,2024,CMRP24010025,JX Metals,JX Metals TRCF PT1 PLC Upgrade Option 1,7661666.61,100.0%,0,39,7/2/2024,,3/27/2025,JNL,,
DS,2023,CMRP23090292,URC,URC CAL2 Piattos Fryer PLC Upgrade,568947.14,100.0%,0,81,9/26/2023,,4/10/2025,DOTX,,
DS,2023,CMRP22080382,URC,URC Centralized Utilities and Metering Pamp Plant 1,3073417.8,100.0%,0,1,,,,JNL,,
DS,2023,CMRP20080195,URC,URC 1 Boiler Rehabilitation,2799107.14,100.0%,0,1,,,,JMC,,
DS,2024,CMRP23100347,Unilab,Unilab Glatt Panel Retrofitting,1244147.58,100.0%,0,1,,,,RAS,,
DS,2024,CMRP24040158,ATTSC,ATTSC RCBC Plaza Chiller-BMS Integration,1196629.55,100.0%,0,1,,,,EMP,,
DS,2024,CMRP23090319B,STMicro,STMicro Warehouse Freezer FMCS Integration,714564.3,100.0%,0,1,,,,RAS,,
DS,2023,CMRP23070204,URC,URC Cavite Steam Metering,625352.7,100.0%,0,1,,,,RAV,,
DS,2023,CMRP23070203,URC,URC Cavite Power Metering,569653.63,100.0%,0,1,,,,RAV,,
DS,2024,CMRP23060160C,URC,URC SP1 Green Bean Silo Automation Automation,445980.08,100.0%,0,1,,,,RPP,,
DS,2024,CMRP24030088,NPI,Netpacific MSU Marawi BMS,432000,100.0%,0,1,,,,TJC,,
DS,2023,CMRP23070230,URC,URC Canlubang Pretzel Line 3 Additional Interlocking and Alarms,407325.49,100.0%,0,1,,,,GMA,,
DS,2024,CMRP24060209,ADI,ADI Power Meter BMS Integration,267161.5,100.0%,0,1,,,,RPP,,
DS,2023,CMRP23080276,Mega Sardines,Mega Sardines Zamboanga HMI Reprogramming,40178.57,100.0%,0,1,,,,JMC,,
DS,2024,CMRP24040114,BBP,BBP Uptown Mall Valve Switch Works,27877.9,100.0%,0,1,,,,TJC,,
DS,2024,CMRP24040128,LBI,LBI RCS Cabuyao Onsite Troubleshooting,25429.92,100.0%,0,1,,,,JNL,,
DS,2024,CMRP24070272,Unilab,ADI C1 Air Dryer 1,18000,100.0%,0,1,,,,RPP,,
DS,2025,CMRP24120518,JX Metals,JX Metals Slitting Machine Panel Rehab,340000,100.0%,0,10,1/8/2025,,3/18/2025,JNL,,
DS,2023,CMRP23090313,Megaworld,Megaworld Pasudeco Tower BMS,3405377.319,100.0%,0,73,11/23/2023,,4/10/2025,RAS,,
DS,2024,CMRP24080301,"ST Microelectronics, Inc.",Power Meter Installation & FMCS Integration,775600,100.0%,0,26,9/2/2024,,2/26/2025,RAS,,
DS,2025,CMRP25010032,"ST Microelectronics, Inc.",STMicro Copper and Ammonia FMCS Integration,82624.94,100.0%,0,3,2/7/2025,,2/26/2025,RAS,,
